Pack	time	censored	motherage	pups3mo	ads3mo	attempt	censor	maxtemp	mintemp	meantemp	rainfall	days	IBI4	monthly	rounded
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	2
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	3
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	4
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	5
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	6
Sosian	173.5	no	49	2	8	2	0	27.944	12.5	18.82	1.75	876	245.5	8.183333333	7
Sosian	173.5	no	49	2	8	2	1	27.944	12.5	18.82	1.75	876	245.5	8.183333333	8
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	0
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	1
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	2
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	3
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	4
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	5
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	6
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	7
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	8
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	9
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	10
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	11
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	12
Tenais	366	no	26	7	8	1	0	28.369	12.06	19.33	2.1	955	438	14.6	13
Tenais	366	no	26	7	8	1	1	28.369	12.06	19.33	2.1	955	438	14.6	14
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	1
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	2
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	3
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	4
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	5
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	6
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	7
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	8
Sosian	240.5	no	58	3	9	3	0	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	9
Sosian	240.5	no	58	3	9	3	1	29.2	12.15	20.3	2.35	1122	312.5	10.41666667	10
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	1
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	2
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	3
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	4
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	5
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	6
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	7
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	8
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	9
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	10
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	11
Lendile	332.5	no	46	9	11	5	0	29.089	12.45	19.68	2.88	1190	404.5	13.48333333	12
